19.6389 	EXP 	fixation: autoDraw = True
20.6396 	EXP 	leftStim: autoDraw = False
20.6396 	EXP 	rightStim: autoDraw = False
20.6396 	EXP 	fixation: autoDraw = False
20.6565 	EXP 	ITI: autoDraw = True
21.6248 	EXP 	New trial (rep=1, index=1): OrderedDict([(u'condition', u'congruent'), (u'stim', u'X')])
21.6396 	EXP 	ITI: autoDraw = False
21.6396 	EXP 	leftStim: autoDraw = False
21.6396 	EXP 	rightStim: autoDraw = False
21.6396 	EXP 	ITI: autoDraw = False
21.6396 	EXP 	fixation: autoDraw = False
21.6396 	EXP 	leftStim: text = ''
21.6396 	EXP 	rightStim: text = u'X'
21.6396 	EXP 	leftStim: autoDraw = True
21.6396 	EXP 	rightStim: autoDraw = True
21.6396 	EXP 	fixation: autoDraw = True
22.4258 	DATA 	Keypress: escape
22.6984 	EXP 	window1: mouseVisible = True
