29.6950 	EXP 	fixation: autoDraw = False
29.6950 	EXP 	leftStim: autoDraw = False
29.6950 	EXP 	rightStim: autoDraw = False
29.6950 	EXP 	ITI: autoDraw = False
29.6950 	EXP 	leftStim: text = ''
29.6950 	EXP 	rightStim: text = u'X'
29.6950 	EXP 	fixation: autoDraw = True
29.6950 	EXP 	leftStim: autoDraw = True
29.6950 	EXP 	rightStim: autoDraw = True
30.0311 	DATA 	Keypress: m
30.6956 	EXP 	fixation: autoDraw = False
30.6956 	EXP 	leftStim: autoDraw = False
30.6956 	EXP 	rightStim: autoDraw = False
30.7123 	EXP 	ITI: autoDraw = True
31.6802 	EXP 	New trial (rep=1, index=2): OrderedDict([(u'condition', u'incongruent'), (u'stim', u'O')])
31.6954 	EXP 	ITI: autoDraw = False
31.6954 	EXP 	fixation: autoDraw = False
31.6954 	EXP 	leftStim: autoDraw = False
31.6954 	EXP 	rightStim: autoDraw = False
31.6954 	EXP 	ITI: autoDraw = False
31.6954 	EXP 	leftStim: text = ''
31.6954 	EXP 	rightStim: text = u'X'
31.6954 	EXP 	fixation: autoDraw = True
31.6954 	EXP 	leftStim: autoDraw = True
31.6954 	EXP 	rightStim: autoDraw = True
32.1801 	DATA 	Keypress: m
32.6957 	EXP 	fixation: autoDraw = False
32.6957 	EXP 	leftStim: autoDraw = False
32.6957 	EXP 	rightStim: autoDraw = False
32.7125 	EXP 	ITI: autoDraw = True
33.6808 	EXP 	New trial (rep=1, index=3): OrderedDict([(u'condition', u'congruent'), (u'stim', u'O')])
33.6957 	EXP 	ITI: autoDraw = False
33.6957 	EXP 	fixation: autoDraw = False
33.6957 	EXP 	leftStim: autoDraw = False
33.6957 	EXP 	rightStim: autoDraw = False
33.6957 	EXP 	ITI: autoDraw = False
33.6957 	EXP 	leftStim: text = ''
33.6957 	EXP 	rightStim: text = u'X'
33.6957 	EXP 	fixation: autoDraw = True
33.6957 	EXP 	leftStim: autoDraw = True
33.6957 	EXP 	rightStim: autoDraw = True
34.0989 	DATA 	Keypress: m
34.6956 	EXP 	fixation: autoDraw = False
34.6956 	EXP 	leftStim: autoDraw = False
34.6956 	EXP 	rightStim: autoDraw = False
34.7128 	EXP 	ITI: autoDraw = True
35.6813 	EXP 	New trial (rep=2, index=0): OrderedDict([(u'condition', u'incongruent'), (u'stim', u'X')])
35.6958 	EXP 	ITI: autoDraw = False
35.6958 	EXP 	fixation: autoDraw = False
35.6958 	EXP 	leftStim: autoDraw = False
35.6958 	EXP 	rightStim: autoDraw = False
35.6958 	EXP 	ITI: autoDraw = False
35.6958 	EXP 	leftStim: text = u'X'
35.6958 	EXP 	rightStim: text = ''
35.6958 	EXP 	fixation: autoDraw = True
35.6958 	EXP 	leftStim: autoDraw = True
35.6958 	EXP 	rightStim: autoDraw = True
36.5975 	DATA 	Keypress: m
36.6967 	EXP 	fixation: autoDraw = False
36.6967 	EXP 	leftStim: autoDraw = False
36.6967 	EXP 	rightStim: autoDraw = False
36.7131 	EXP 	ITI: autoDraw = True
37.6815 	EXP 	New trial (rep=2, index=1): OrderedDict([(u'condition', u'congruent'), (u'stim', u'X')])
37.6963 	EXP 	ITI: autoDraw = False
37.6963 	EXP 	fixation: autoDraw = False
37.6963 	EXP 	leftStim: autoDraw = False
37.6963 	EXP 	rightStim: autoDraw = False
37.6963 	EXP 	ITI: autoDraw = False
37.6963 	EXP 	leftStim: text = ''
37.6963 	EXP 	rightStim: text = u'X'
37.6963 	EXP 	fixation: autoDraw = True
37.6963 	EXP 	leftStim: autoDraw = True
37.6963 	EXP 	rightStim: autoDraw = True
38.0821 	DATA 	Keypress: m
38.6966 	EXP 	fixation: autoDraw = False
38.6966 	EXP 	leftStim: autoDraw = False
38.6966 	EXP 	rightStim: autoDraw = False
38.7132 	EXP 	ITI: autoDraw = True
39.6817 	EXP 	New trial (rep=2, index=2): OrderedDict([(u'condition', u'incongruent'), (u'stim', u'O')])
39.6966 	EXP 	ITI: autoDraw = False
39.6966 	EXP 	fixation: autoDraw = False
39.6966 	EXP 	leftStim: autoDraw = False
39.6966 	EXP 	rightStim: autoDraw = False
